,,,,,,,
,Í¼Æ¬,¹æ¸ñ,ÍøÖ·,SKU,per price,qty,×Ü¶î
48 in. x 125 ft. Double Reflective Insulation Radiant Barrier,,0.19 in. x 48in. x 125ft,https://www.homedepot.com/p/Everbilt-48-in-x-125-ft-Double-Reflective-Insulation-Radiant-Barrier-48X125DBLRFL/319738988#overlay,1007436901,179,3,$537.00
2 in. x 48 in. x 8 ft. R-7.7 EPS Rigid Foam Board Insulation,,2 in. x 48in. x 8ft,https://www.homedepot.com/p/Henry-2-in-x-48-in-x-8-ft-R-7-7-EPS-Rigid-Foam-Board-Insulation-320825/202532856,614653,37.23,93,"$3,462.39"
72 in. x 80 in. Primed Prehung Left-Hand Inswing Mini Blind Steel Patio Door with Brick Mold,,72 in. x 80 in. ,https://www.homedepot.com/p/Masonite-72-in-x-80-in-Primed-Prehung-Left-Hand-Inswing-Mini-Blind-Steel-Patio-Door-with-Brick-Mold-89890/202080586?MERCH=REC-_-pip_alternatives-_-316147259-_-13-_-n/a-_-n/a-_-n/a-_-n/a-_-n/a,299534,1028,2,"$2,056.00"
"5/16"" x 48"" x 96"" Natural Oak Decorative Slat Wall Panel",,"5/16"" x 48"" x 96""",https://www.homedepot.com/p/Eucatex-5-16-x-48-x-96-Natural-Oak-Decorative-Slat-Wall-Panel-0409-7007/325588772?searchType=barcode,1009663235,49.98,100,"$4,998.00"
24 in. Round White Integrated LED Flush Mount Light Super Narrow Frame Slim LED Flush Mount Light with 5CCT Selectable,,24 in,https://www.homedepot.com/p/Sofiton-24-in-Round-White-Integrated-LED-Flush-Mount-Light-Super-Narrow-Frame-Slim-LED-Flush-Mount-Light-with-5CCT-Selectable-MRFM2448-5CCT/328899168?MERCH=REC-_-pip_alternatives-_-326506488-_-6-_-n/a-_-n/a-_-n/a-_-n/a-_-n/a,208360,72.17,4,$288.68
Fuze It Max 9 oz. Interior/Exterior All Surface Construction Adhesive,,9oz,https://www.homedepot.com/p/Liquid-Nails-Fuze-It-Max-9-oz-Interior-Exterior-All-Surface-Construction-Adhesive-LN-3000/313740337#overlay,1005508634,11.98,30,$359.40
#8 x 3/4 in. Stainless Steel Phillips Truss Head Self-Drilling Screws (300-Pack),,#8 x 3/4 in. ,https://www.homedepot.com/p/MYWISH-8-x-3-4-in-Stainless-Steel-Phillips-Truss-Head-Self-Drilling-Screws-300-Pack-SF-DP00017/334997372,,19.48,4,$77.92
,,,,,,,"$11,779.39"
,,,,,,,
Rental,,,,,,,
,Í¼Æ¬,¹æ¸ñ,ÍøÖ·,duration,per price,qty,×Ü¶î
26' Scissor Lift Rental,,"
26' ",https://www.homedepot.com/p/rental/26-Scissor-Lift-Rental-GS2632/316821928#overlay,4 Weeks,860,1,$860.00
